Label	logFC	FDR
PIWIL2	-1.7795338	4.74E-04
LOC643201	-3.704878	4.74E-04
TMPRSS6	-3.6789345	4.74E-04
SULT1B1	-2.7548539	1.05E-03
CPB1	-3.5671766	1.05E-03
ZNF57	-1.4023164	1.05E-03
CDH3	3.2272292	1.10E-03
ADH7	-4.2682112	1.46E-03
COL10A1	4.4626402	1.62E-03
CYB5A	-1.3195691	1.62E-03
RAB31	1.6610578	1.62E-03
PTGR1	-1.5798036	1.62E-03
PBLD	-2.6611743	1.62E-03
INHBA	4.5624785	1.62E-03
KCNJ16	-6.3451455	1.62E-03
GRAMD1C	-1.168563	1.62E-03
LOC101928195///LOC100996643///MTHFD1L	1.8643835	1.62E-03
MT1G	-2.6264277	1.69E-03
SULF1	3.525713	1.83E-03
LINC01105	-3.300451	1.83E-03
LINC01296///DUXAP10	2.7391107	1.83E-03
GHRL	-4.6658703	1.83E-03
VSTM2A	-3.8488261	1.83E-03
GATA6-AS1	-3.5163465	1.83E-03
MT1H	-2.2223449	1.93E-03
CBR1	-1.363273	2.09E-03
MT1M	-4.9201424	2.17E-03
LOC102725271///NTM	2.5567101	2.22E-03
HAPLN1	-2.3291384	2.22E-03
PRELID2	-1.5852041	2.22E-03
NEDD4L	-1.484926	2.22E-03
EPB41L4B	-1.4109302	2.22E-03
PEX11A	-1.1262702	2.22E-03
ITGB1	1.0840893	2.22E-03
AZGP1	-2.9141497	2.22E-03
LNX1	-1.7225588	2.22E-03
ARL13B	1.0221045	2.22E-03
TRIM50	-5.4444352	2.22E-03
COL6A3	2.0585833	2.22E-03
BLVRA	1.255682	2.30E-03
AQP4	-7.8413652	2.35E-03
PSAPL1	-4.9340908	2.35E-03
WISP1	2.9533462	2.44E-03
LINC00982	-2.9893156	2.44E-03
IMPAD1	0.8106431	2.44E-03
MT1E	-2.3253429	2.44E-03
CYP2C9	-2.897473	2.44E-03
OASL	-2.1176117	2.44E-03
SIDT2	-1.6002613	2.44E-03
MT1F	-2.530641	2.55E-03
THBS1	2.0043127	2.55E-03
ABCA5	-1.0314463	2.55E-03
SPTSSA	1.0749425	2.74E-03
DGKD	-1.5597916	2.75E-03
AGPS	0.8366466	2.75E-03
COL18A1	1.1560896	2.82E-03
TRIM74///TRIM73	-2.7826247	2.89E-03
PYM1	-2.7524049	3.01E-03
SIMC1	-0.8672779	3.01E-03
COL1A2	2.5548157	3.02E-03
CLIC6	-4.2177371	3.05E-03
TST	-1.4834335	3.11E-03
TMEM161B	-1.3752484	3.11E-03
FGD4	-1.8295716	3.11E-03
MAP4K4	1.3516372	3.11E-03
PLIN1	-2.6158292	3.11E-03
ENTPD5	-1.9655584	3.17E-03
10-Mar	-1.9834143	3.20E-03
SSTR1	-3.5878601	3.20E-03
CAPN13	-3.0874929	3.23E-03
SNX10	1.6890116	3.23E-03
COL5A2	1.9868829	3.23E-03
MYZAP	-1.5097561	3.27E-03
COL12A1	2.8421016	3.27E-03
CAP2	2.2140646	3.29E-03
DCAF12L1	-3.3291893	3.29E-03
GDPD1	-1.6111227	3.29E-03
CFC1B///CFC1	-2.7513421	3.29E-03
THY1	2.0904904	3.29E-03
PTGFRN	1.2402707	3.29E-03
CTHRC1	2.8671448	3.29E-03
HOXA3	1.4799522	3.29E-03
CDH11	1.8131529	3.29E-03
ACTN1	1.3033909	3.33E-03
SCNN1G	-5.306967	3.33E-03
SKAP2	1.3420065	3.33E-03
EXPH5	-0.8676581	3.33E-03
SH3BGRL2	-1.7404764	3.33E-03
ATP4A	-8.0231921	3.33E-03
NME7	1.0521056	3.33E-03
LOXL1	1.0754167	3.33E-03
ACO2	-1.2160107	3.33E-03
GOLGA2P10	-1.1283031	3.33E-03
MYRF	-2.3243567	3.33E-03
BMP2	-1.718422	3.33E-03
IKBIP	1.2615284	3.33E-03
IL17RE	-2.124203	3.37E-03
DUXAP10	2.7994804	3.37E-03
ESRRG	-4.7037854	3.37E-03
SLC39A10	1.6076009	3.37E-03
SALL4	3.4227639	3.39E-03
CDYL2	-1.1895006	3.49E-03
MEST	1.6817218	3.52E-03
PPID	-1.7237757	3.52E-03
SIGLEC15	-1.7414622	3.52E-03
GPRC5C	-1.6666549	3.52E-03
CORO1C	1.089803	3.52E-03
MAGIX	-1.1879763	3.52E-03
SMIM6	-2.6824188	3.52E-03
VCAN	1.7772765	3.53E-03
CDK4	0.7834132	3.60E-03
FAM19A5	1.8410751	3.60E-03
SPARC	2.0628743	3.63E-03
LOC202181	-1.5086112	3.63E-03
LOC101930400///AKR1C2	-3.4402445	3.65E-03
B4GALNT3	-2.4032758	3.65E-03
SRPX2	1.9913791	3.65E-03
TPCN2	-3.7337804	3.65E-03
HMGCL	-0.8929298	3.81E-03
LINC00675	-3.3526676	3.81E-03
BGN	2.3708699	3.81E-03
WWTR1-AS1	-1.9614927	3.81E-03
HTRA1	1.4561492	3.81E-03
MUL1	-0.9224259	3.81E-03
SEPT7	0.966997	3.83E-03
MAGI3	-0.9842942	3.87E-03
COL11A1	5.9817584	3.95E-03
TNFSF4	1.6764978	4.02E-03
COL8A1	3.5217517	4.02E-03
FN1	2.5304731	4.05E-03
HADH	-1.2157702	4.06E-03
ETFDH	-1.2727517	4.06E-03
GKN2	-9.1780163	4.06E-03
TIMP1	2.0927926	4.06E-03
MT1X	-1.8223506	4.06E-03
ELOVL6	-1.4606932	4.07E-03
PTPN12	1.0599907	4.24E-03
PPFIBP2	-1.2858503	4.24E-03
ATP4B	-7.9600949	4.25E-03
IL13RA2	3.4394769	4.25E-03
PLLP	-2.4707902	4.25E-03
FKBP10	2.6036273	4.26E-03
ASAH2B	-1.0752139	4.26E-03
CHN1	1.6694207	4.26E-03
SLC28A1	-1.2322245	4.26E-03
CWH43	-5.2324383	4.26E-03
FMNL2	0.9228856	4.26E-03
IGF2BP3	4.6396491	4.39E-03
HRASLS2	-1.3104961	4.41E-03
LINC01296///DUXAP10///DUXAP8	2.2616987	4.46E-03
LOC101928916///NNMT	1.7180859	4.46E-03
PSMG4	-1.5680584	4.49E-03
CYP4F12	-2.1409082	4.50E-03
PTER	-1.2224832	4.50E-03
CYP3A5	-1.5495175	4.51E-03
ADAMTS2	2.9709372	4.52E-03
ABHD6	-1.0379458	4.54E-03
ME2	-0.8773911	4.67E-03
CCKBR	-4.2018853	4.79E-03
CEP170P1///CEP170	1.0774047	4.79E-03
TCL6	-2.0618453	4.79E-03
MIR4680///PDCD4	-1.2020579	4.79E-03
ADIPOQ	-3.440471	4.79E-03
SULT2A1	-3.3252571	4.79E-03
CKMT2	-3.3539361	4.79E-03
LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10	-0.9301996	4.79E-03
DAPK2	-1.7021772	4.79E-03
RPS29	-0.9147261	4.79E-03
NOX4	3.5235717	4.79E-03
DPY30///MEMO1	1.0494522	4.79E-03
GLS	1.1241911	4.79E-03
THBS2	3.6138315	4.79E-03
APOC1	2.5084574	4.79E-03
ADAMTS6	1.515555	4.79E-03
LOC101930489///MIR4435-2HG///LINC00152	1.2833652	4.81E-03
PRKDC	0.8295788	4.83E-03
APOBEC2	-2.8973238	4.86E-03
PARP1	0.8520361	4.88E-03
TMPRSS2	-2.0137834	4.88E-03
PCBP1-AS1	-1.835941	4.88E-03
LGALS1	1.2622536	4.88E-03
KCNJ15	-3.4536726	4.88E-03
TMEM237	1.1443986	4.88E-03
GKN1	-8.9911571	4.88E-03
DNAI1	-2.0206673	4.88E-03
LOC100507424///ITFG2	-1.0519191	5.01E-03
SCNN1B	-3.1638977	5.03E-03
MLYCD	-0.8567139	5.04E-03
BMS1P5	-0.7934799	5.11E-03
SLC22A23	-1.5485598	5.11E-03
PGRMC2	-1.0269665	5.11E-03
TRIO	1.0112245	5.11E-03
SVIP	-1.2016122	5.18E-03
F2R	0.9750331	5.19E-03
ADH1A	-2.1455512	5.19E-03
SLC41A2	-1.5501389	5.19E-03
NSG1	-1.1093174	5.19E-03
IGFBP7	1.0663493	5.20E-03
CALD1	1.5858585	5.25E-03
CTNND2	-1.4928595	5.26E-03
CASZ1	-0.9591663	5.26E-03
RARRES1	2.0707755	5.26E-03
TMEM95	-2.5992343	5.31E-03
COL3A1	1.6114389	5.38E-03
STYK1	-2.4009316	5.38E-03
ANGPTL3	-3.0087351	5.42E-03
REC8	-1.3891153	5.42E-03
CPAMD8	-1.0664517	5.42E-03
